Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5504073464,3062325138
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5492483461,3057988107
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,2584776249,1347353347
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2578651449,1345155437
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,1056699751,535552502
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,1052767906,534626840
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,179543288,84075691
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,179143648,83906122
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,143388212,80279328
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,143211645,80167234
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,64852271,30418310
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,64712706,30357148
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,38891558,16934432
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,38846467,16895432
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,21477185,8921766
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,21427839,8899465
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,8604318,4698369
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8591339,4691431
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,6287351,3063445
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,6286500,3057718
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,912969,468162
US-Canada Border,06/01/2019 12:00:00 AM,Trains,912005,467372
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,5487075617,3053656265
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,5475914062,3049318619
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,2575818568,1342960605
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2569731561,1340762997
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,1052701192,533704881
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,1048556707,532779754
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,178776895,83736660
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,178341404,83567248
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,143009384,80055055
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,142836903,79942837
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,64583272,30296017
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,64436013,30234899
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,38693261,16856373
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,38648376,16817448
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,21365295,8877172
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,21312661,8854912
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,8582364,4684492
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8569802,4677544
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,6242406,3051973
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,6241448,3046286
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,909843,466581
US-Canada Border,05/01/2019 12:00:00 AM,Trains,908856,465791
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,5471705055,3044985413
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,5461151920,3040644233
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,2567430497,1338568410
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2561744327,1336370088
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,1048506121,531858724
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,1044249318,530934489
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,177955907,83398008
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,177559609,83228853
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,142646725,79830526
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,142451309,79718154
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,64302277,30173826
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,64168063,30112773
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,38488413,16778464
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,38446233,16739627
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,21251108,8832666
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,21200211,8810451
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,8561628,4670593
US-Canada Border,04/01/2019 12:00:00 AM,Buses,8548806,4663633
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,6211410,3040580
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,6210553,3034908
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,906766,464999
US-Canada Border,04/01/2019 12:00:00 AM,Trains,905832,464209
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,5457391275,3036306406
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,5445523440,3031959754
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,2559691192,1334174077
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,2553313482,1331973867
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,1044218114,530014570
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,1039989341,529091404
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,177190288,83059801
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,176775815,82890806
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,142330871,79605729
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,142153545,79493116
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,64046035,30051742
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,63890667,29990711
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,38288393,16700726
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,38243524,16661969
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,21139444,8788247
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,21094206,8766072
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,8543756,4656670
US-Canada Border,03/01/2019 12:00:00 AM,Buses,8530661,4649691
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,6197450,3029217
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,6196592,3023529
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,903864,463418
US-Canada Border,03/01/2019 12:00:00 AM,Trains,902873,462627
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,5441758103,3027618812
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,5431462696,3023269012
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,2551319962,1329777213
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,2545663643,1327576235
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,1039970841,528172522
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,1036554735,527250363
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,176409117,82721948
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,176033429,82553142
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,142064219,79380418
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,141938550,79267474
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,63758415,29929740
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,63615803,29868788
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,38083380,16623154
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,38046351,16584487
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,21029237,8743899
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,20982863,8721764
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,8526242,4642711
US-Canada Border,02/01/2019 12:00:00 AM,Buses,8514775,4635714
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,6183278,3017822
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,6182462,3012119
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,900928,461835
US-Canada Border,02/01/2019 12:00:00 AM,Trains,899997,461044
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,5428685484,3018922092
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,5416824917,3014564473
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,2544129083,1325377521
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,2537827311,1323173630
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,1036542726,526331041
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,1032648305,525408416
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,175709799,82384405
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,175314304,82215643
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,141862810,79154349
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,141666941,79040952
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,63500179,29807872
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,63344397,29746946
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,37922708,16545747
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,37890268,16507090
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,20938371,8699632
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,20887960,8677500
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,8511005,4628712
US-Canada Border,01/01/2019 12:00:00 AM,Buses,8497868,4621691
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,6173185,3006396
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,6172338,3000669
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,898390,460252
US-Canada Border,01/01/2019 12:00:00 AM,Trains,897396,459459
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,5413895937,3010212552
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,5401507290,3005850150
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,2536181535,1320973171
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2529853938,1318767711
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,1032633893,524489503
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,1028314477,523567281
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,174959875,82046986
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,174638282,81878360
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,141592829,78927499
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,141429545,78813769
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,63220355,29686081
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,63072573,29625220
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,37734608,16468353
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,37693832,16429757
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,20830098,8655380
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,20777715,8633284
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,8493965,4614669
US-Canada Border,12/01/2018 12:00:00 AM,Buses,8479836,4607629
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,6159436,2994924
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,6158566,2989180
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,895363,458666
US-Canada Border,12/01/2018 12:00:00 AM,Trains,894393,457873
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,5397629238,3001494410
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,5386239490,2997129865
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,2527848894,1316565736
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,2521765164,1314359391
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,1028293774,522649559
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,1024333823,521728531
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,174360864,81709706
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,173970716,81540942
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,141339249,78699922
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,141188329,78585825
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,62936195,29564407
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,62785222,29503620
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,37519314,16391095
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,37477698,16352610
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,20719420,8611203
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,20664552,8589148
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,8475754,4600589
US-Canada Border,11/01/2018 12:00:00 AM,Buses,8462429,4593530
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,6145728,2983418
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,6144711,2977658
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,892397,457080
US-Canada Border,11/01/2018 12:00:00 AM,Trains,891427,456287
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,5382716286,2992770176
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,5370712119,2988400988
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,2519831518,1312156096
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2513274999,1309948280
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,1024312533,520811368
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,1020415645,519890891
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,173611791,81372275
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,173196264,81203647
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,141082723,78471587
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,140944034,78357124
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,62657525,29442888
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,62498156,29382166
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,37314374,16314061
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,37268773,16275669
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,20605440,8567113
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,20550351,8545105
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,8457652,4586470
US-Canada Border,10/01/2018 12:00:00 AM,Buses,8443438,4579393
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,6132991,2971878
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,6132048,2966099
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,889448,455493
US-Canada Border,10/01/2018 12:00:00 AM,Trains,888449,454699
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,5366669973,2984037780
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,5354847012,2979665978
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,2511034848,1307744385
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2504715577,1305536512
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,1020364569,518974179
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,1016840038,518054197
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,172797924,81035162
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,172436060,80866790
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,140785261,78242496
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,140624448,78127739
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,62358584,29321514
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,62217505,29260896
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,37100924,16237220
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,37057303,16198938
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,20487099,8523117
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,20437062,8501165
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,8437079,4572316
US-Canada Border,09/01/2018 12:00:00 AM,Buses,8423611,4565225
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,6115431,2960301
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,6114557,2954512
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,886390,453905
US-Canada Border,09/01/2018 12:00:00 AM,Trains,885457,453111
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,5350470748,2975299837
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,5338132573,2970925673
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,2502375854,1303332139
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2495821010,1301123956
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,1016786019,517137311
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,1012934716,516217148
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,172075770,80698464
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,171674188,80530182
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,140444491,78012855
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,140225653,77897880
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,62090565,29200314
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,61931216,29139742
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,36902620,16160595
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,36862586,16122396
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,20373480,8479224
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,20330591,8457319
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,8415715,4558132
US-Canada Border,08/01/2018 12:00:00 AM,Buses,8400754,4551028
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,6085202,2948703
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,6084293,2942927
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,883487,452317
US-Canada Border,08/01/2018 12:00:00 AM,Trains,882559,451523
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,5331765240,2966558132
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,5319065109,2962186215
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,2492821452,1298919717
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2486344880,1296712875
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,1012851186,515300694
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,1008934683,514381008
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,171296593,80362020
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,170926081,80193934
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,139985832,77782884
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,139729276,77667906
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,61789635,29079241
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,61638441,29018779
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,36713661,16084130
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,36673172,16045998
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,20270432,8435413
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,20222226,8413537
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,8391532,4543925
US-Canada Border,07/01/2018 12:00:00 AM,Buses,8375852,4536813
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,6028691,2937131
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,6027816,2931416
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,880460,450727
US-Canada Border,07/01/2018 12:00:00 AM,Trains,879510,449933
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,5312946409,2957821625
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,5301044571,2953452191
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,2483442325,1294509853
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2477077268,1292304041
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,1008854335,513465168
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,1005296253,512546078
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,170563283,80025911
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,170175901,79857938
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,139505602,77552978
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,139407092,77438038
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,61508651,28958372
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,61369297,28897982
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,36528455,16007800
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,36484143,15969728
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,20162086,8391669
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,20111718,8369831
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,8366467,4529704
US-Canada Border,06/01/2018 12:00:00 AM,Buses,8352218,4522585
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,5979677,2925682
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,5978780,2920016
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,877525,449138
US-Canada Border,06/01/2018 12:00:00 AM,Trains,876561,448343
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,5296139192,2949088637
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,5283713732,2944717965
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,2474516223,1290101860
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2467792789,1287896247
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,1005234162,511630186
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,1001383321,510710998
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,169811634,79690061
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,169403196,79522237
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,139195095,77322854
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,139086676,77207636
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,61224520,28837626
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,61074040,28777315
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,36336311,15931597
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,36294460,15893600
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,20046748,8348006
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,19993181,8326221
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,8342931,4515467
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8329834,4508339
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,5935209,2914331
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,5934318,2908705
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,874580,447547
US-Canada Border,05/01/2018 12:00:00 AM,Trains,873632,446752
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,5279348023,2940354167
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,5267148021,2935982216
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,2465413921,1285694948
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2458908080,1283489865
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,1001338802,509795564
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,997478058,508876792
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Full,169009894,79354549
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,168615769,79186968
US-Mexico Border,04/01/2018 12:00:00 AM,Bus Passengers,138888886,77092190
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,138766063,76976682
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Empty,60931140,28717060
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,60784753,28656847
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Full,36141878,15855538
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,36102466,15817620
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Empty,19922537,8304454
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,19874047,8282738
US-Mexico Border,04/01/2018 12:00:00 AM,Buses,8321543,4501210
US-Canada Border,04/01/2018 12:00:00 AM,Buses,8307885,4494069
US-Mexico Border,04/01/2018 12:00:00 AM,Train Passengers,5907719,2903060
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,5906893,2897444
US-Mexico Border,04/01/2018 12:00:00 AM,Trains,871538,445955
US-Canada Border,04/01/2018 12:00:00 AM,Trains,870636,445160
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,5263475934,2931616737
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,5250782905,2927241767
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicles,2456894815,1281288708
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicles,2450202165,1279083068
US-Mexico Border,03/01/2018 12:00:00 AM,Pedestrians,997455587,507961808
US-Canada Border,03/01/2018 12:00:00 AM,Pedestrians,993278145,507043433
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Full,168240724,79019499
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Full,167848463,78852104
US-Mexico Border,03/01/2018 12:00:00 AM,Bus Passengers,138649601,76860971
US-Canada Border,03/01/2018 12:00:00 AM,Bus Passengers,138495807,76745045
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Empty,60647319,28596682
